transaction_id,date,month,month_number,year,merchant,description,category,subcategory,payment_method,amount,transaction_type,notes,is_recurring,weekday
TXN202500393,2025-01-01,January,1,2025,Cashback,Cashback - Freelance,Income,Freelance,Wallet,640,credit,Cashback credited,Yes,Wednesday
TXN202500396,2025-01-01,January,1,2025,Swiggy,Swiggy - Fast Food,Food,Fast Food,Credit Card,1213,debit,Office meal,No,Wednesday
TXN202500672,2025-01-01,January,1,2025,Ola,Ola - Metro,Transport,Metro,UPI,2116,debit,Airport/Station trip,No,Wednesday
TXN202501237,2025-01-01,January,1,2025,Blue Tokai,Blue Tokai - Snacks,Coffee,Snacks,UPI,478,debit,Evening coffee,No,Wednesday
TXN202501260,2025-01-01,January,1,2025,DMart,DMart - Daily Essentials,Groceries,Daily Essentials,Net Banking,4840,debit,Fresh produce,No,Wednesday
TXN202501348,2025-01-01,January,1,2025,Croma,Croma - Online Shopping,Shopping,Online Shopping,Wallet,5616,debit,Online purchase,No,Wednesday
TXN202500160,2025-01-02,January,1,2025,Zomato,Zomato - Fast Food,Food,Fast Food,Credit Card,507,debit,Lunch order,No,Thursday
TXN202501369,2025-01-02,January,1,2025,PVR,PVR - Gaming,Entertainment,Gaming,UPI,1798,debit,Event ticket,No,Thursday
TXN202500551,2025-01-03,January,1,2025,Uber,Uber - Bus,Transport,Bus,Wallet,2352,debit,Local travel,No,Friday
TXN202501042,2025-01-03,January,1,2025,BigBasket,BigBasket - Daily Essentials,Groceries,Daily Essentials,Debit Card,4909,debit,Household items,No,Friday
TXN202501201,2025-01-03,January,1,2025,Blue Tokai,Blue Tokai - Cafe,Coffee,Cafe,Wallet,310,debit,Evening coffee,No,Friday
TXN202501431,2025-01-03,January,1,2025,Tata 1mg,Tata 1mg - Medicine,Health,Medicine,UPI,1376,debit,Doctor consultation,No,Friday
TXN202500004,2025-01-04,January,1,2025,Jio,Jio - Subscription,Bills & Utilities,Subscription,UPI,1422,debit,Subscription,No,Saturday
TXN202500182,2025-01-04,January,1,2025,Zomato,Zomato - Fast Food,Food,Fast Food,Debit Card,742,debit,Weekend food,No,Saturday
TXN202500776,2025-01-04,January,1,2025,Third Wave Coffee,Third Wave Coffee - Beverage,Coffee,Beverage,UPI,118,debit,Evening coffee,No,Saturday
TXN202500865,2025-01-04,January,1,2025,Starbucks,Starbucks - Snacks,Coffee,Snacks,Debit Card,572,debit,Weekend cafe,No,Saturday
TXN202500141,2025-01-05,January,1,2025,RedBus,RedBus - Cab,Transport,Cab,Cash,2054,debit,Weekend travel,No,Sunday
TXN202500397,2025-01-05,January,1,2025,Third Wave Coffee,Third Wave Coffee - Cafe,Coffee,Cafe,Wallet,213,debit,Weekend cafe,No,Sunday
TXN202501010,2025-01-06,January,1,2025,Metro,Metro - Train,Transport,Train,Debit Card,1965,debit,Weekend travel,No,Monday
TXN202501069,2025-01-06,January,1,2025,Nykaa,Nykaa - Clothing,Shopping,Clothing,UPI,5456,debit,Replacement item,No,Monday
TXN202501437,2025-01-06,January,1,2025,Nykaa,Nykaa - Electronics,Shopping,Electronics,UPI,11891,debit,Online purchase,No,Monday
TXN202501445,2025-01-06,January,1,2025,Practo,Practo - Medicine,Health,Medicine,UPI,2928,debit,Doctor consultation,No,Monday
TXN202501558,2025-01-06,January,1,2025,Haldiram's,Haldiram's - Online Food,Food,Online Food,Wallet,180,debit,Dinner,No,Monday
TXN202500329,2025-01-07,January,1,2025,Third Wave Coffee,Third Wave Coffee - Snacks,Coffee,Snacks,Wallet,427,debit,Evening coffee,No,Tuesday
TXN202500438,2025-01-07,January,1,2025,CCD,CCD - Cafe,Coffee,Cafe,UPI,165,debit,Quick break,No,Tuesday
TXN202500536,2025-01-07,January,1,2025,Croma,Croma - Online Shopping,Shopping,Online Shopping,Debit Card,9746,debit,Sale purchase,No,Tuesday
TXN202500886,2025-01-07,January,1,2025,Ajio,Ajio - Electronics,Shopping,Electronics,UPI,5145,debit,Sale purchase,No,Tuesday
